General Features;Version;Last Release Date;Author;URL;Free and Open Source;License;Programming Language;Data Storage;License Cost/ Fee;Development status;Intended Audience;Hosting Features;Storage Quota;Bandwidth Quota;Other Limits;Topic Restrictions;Corporate Branding;Own Domain;Ads allowed;System Requirements;Operating System;Root Access;Webserver;Other Requirements;Datastorage;Text Files;MySQL;PostgreSQL;Oracle;SQLite;BerkeleyDB;RCS;Other;Security/Anti-Spam;Page Permissions;ACL;Authentication Backends;Host Blocking;Mail Encryption;nofollow;Blacklist;CAPTCHA;Delayed Indexing;Development/Support;Commercial Support;Preconfigured Hosting;Code Repository;Issue Tracker;Mailing List;Support Forum;IRC Channel;Common Features;Preview;Minor Changes;Change Summary;Page History;Page Revisions;Revision Diffs;Page Index;Plugin System;Special Features;Unicode Support;Right-to-Left Support;Interface Languages;;Email notification;Comments;Categories;Namespaces;Page Redirection;Conflict Handling;Search;Wiki Farming;Structured Data;Links;CamelCase;Freelinks;Backlinks;InterWiki;SisterWiki;Image Links;Windows Shares;Page Redirects;Syntax Features;HTML Tags;Math formulas;Tables;CREOLE support;Markdown Support;Textile Support;BBCode Support;Emoticon Images;Syntax Highlighting;Footnotes;Quoting;Internal Comments;Custom styles;FAQ Tags;Scripting;Content Includes;Feed Aggregation;Usability;Section Editing;Page Templates;Double-Click Edit;Toolbar;WYSIWYG Editing;Access Keys;Auto Signature;Statistics;Recent Changes;Wanted Pages;Orphaned Pages;Most/Least Popular;Recent Visitors;Analysis;Output;HTML;CSS Stylesheets;Printer Friendly;Mobile Friendly;Themes & Skins;RSS Feeds;ATOM Feeds;Abbreviations;Auto-TOC;Raw Export;HTML Export;XML export;PDF Export;Media and Files;File Attachments;Media Revisions;Embedded Flash;Embedded Video;Image Editing;SVG Editing;MindMap Editing;Media Search;Extras;Calendar;Image Galleries;Forums;Blogs;Ticket System;Syntax Examples;Internal Link;;;;;;External Link;;;;;;;;Headlines;;;;;;;;;;;;;Bold Format;;;;;;Italics Format;;;;;;Underline Format;;;;;;Monospace Format;;;;;;;Strikethrough Format;;;Superscript Format;;;Subscript Format;;;;Images;;;;;;;;;;;;;;;;;;Aligning Text;;;;;;;Text Indentation;;;;Bulleted Lists;;;;;;;;;;Numbered Lists;;;;;;;;;;Definition Lists;;;;;;;Horizontal Rule;;;Try it;;;;;;
3F Wiki ;39934;41148;3F;www.3fwiki.com;No;Commercial;Free Pascal;Database;$24.95 month (hosted);Mature;General Web Customers;3F Wiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;3F Wiki ;Windows, Linux and Mac OS X;No;Apache 2.x;iODBC, unixODBC, Windows ODBC;3F Wiki ;No;Yes;Yes;Yes;Yes;Yes;Patch;Any SQL-92 DB w/ ODBC Drivers!;3F Wiki ;Yes;Yes;Internal, POP3, Conf File;Yes;Optional;Optional;Yes;Yes;Optional;3F Wiki ;Yes, 1 listed;Yes;N/A;YouTrack;N/A;N/A;N/A;3F Wiki ;Optional;Yes;Yes;Yes;Unlimited;Between all;Yes;No;3F Wiki ;Yes;No;Not localized;;Optional;Flat;Yes;Yes;Patch;Page Locking;Full Text;Optional;Yes;3F Wiki ;No;Yes;Yes;Yes;Optional;Yes;Yes;No;3F Wiki ;All;Yes;simple + complex;Optional;Optional;Optional;Optional;Optional;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Optional;3F Wiki ;No;Yes;No;Yes;Yes;Optional;Yes;3F Wiki ;Yes;Yes;Yes;Yes;Yes;Yes;3F Wiki ;HTML 4;Yes;Print CSS;Optional;Yes;Yes;No;No;Optional;Yes;Yes;Yes;Optional;3F Wiki ;Yes;Yes;Yes;Yes;Yes;No;No;Keywords;3F Wiki ;Yes;Yes;Yes;Yes;No;3F Wiki ;[[Welcome]];[[Welcome|Home Page]];;;;;[[http://www.google.com/]];[[http://www.google.com/|Google]];;;;;;;==Page Heading==;===Subheading==;;;;;;;;;;;;'''Bold''';*Bold*;;;;;''Italic'';_Italic_;//Italic//;;;;__Underline__;;;;;;Space Indent for Monospace;;;;;;;--Strikethrough--;;;^^Superscript^^;;;,,subscript,,;;;;[[image:/local/path/image.png]];[[image:http://external.com/path.png]];"[[image:/file.ext|title|style sheet tokens;]]";;;;;;;;;;;;;;;;"$$<div align=""left|center|right|justify"">";...your text...;$$</div>;"$$<P align=""left|center|right|justify"">";...your text...;$$</P>;;: single indentation;:: double indentation;::: triple, etc.;;* single indentation + Bullet;** double indentation + Bullet;*** triple, etc.;;;;;;;;# single indentation + Number;## double indentation + Number;### triple, etc.;;;;;;;;";Term:Definition";";Term:Definition";;;;;;----;;;;;;;;;
6of5 Wiki ;0.9.2;40703;Hans-Peter Seitz;www.6of5.com;No;Freeware;Java;Database;0, no license costs, it is freeware;Mature;Intranet, Private;6of5 Wiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;6of5 Wiki ;Any OS supporting Java 5 or greater;No;Tomcat, Servlet 2.5+;Java 5;6of5 Wiki ;No;Yes;No;No;No;No;No;HSQLDB 1.8+;6of5 Wiki ;Yes;Yes;;No;No;No;No;No;No;6of5 Wiki ;Yes, 1 listed;No;;;;www.6of5.com;;6of5 Wiki ;No;No;No;Yes;Unlimited;Between all;Yes;No;6of5 Wiki ;Yes;No;3 languages;German, English, Italian;No;No;No;Yes;No;None;Full Text;Yes;No;6of5 Wiki ;No;Yes;Yes;No;No;Yes;No;No;6of5 Wiki ;None;No;simple;No;;;;No;No;No;;No;;No;;No;No;6of5 Wiki ;No;No;No;;No;No;No;6of5 Wiki ;Yes;No;No;No;No;No;6of5 Wiki ;XHTML 1.0 Transitional;Yes;Print CSS;;Yes;No;No;No;No;No;No;No;No;6of5 Wiki ;Yes;Yes;Yes;Yes;No;No;No;No;6of5 Wiki ;;;;;;6of5 Wiki ;[link];[text|link];[text|room:link];;;;[http://www.example.com/];[text|http://www.example.com/];;;;;;;!!! Level 1;!  Level 2;! Level 3;;;;;;;;;;;__bold__;;;;;;''italic'';;;;;;;;;;;;{{{monospace}}};;;;;;;;;;;;;;;;;[{Image src='pic.jpg'}];[{Image src='http://foo.bar/pic.png'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;* Item 1;** Item 1.1;* Item 2;;;;;;;;# Item 1;## Item 1.1;# Item 2;;;;;;;;;;;;;;;----;;;;;;;;;
@Wiki ;does not apply;does not apply;@freaks Co.,Ltd;atwiki.com;does not apply;does not apply;does not apply;does not apply;$0 FREE;does not apply;All English-Speaking users;@Wiki ;unlimited;unlimited;none;none;Yes;No;Yes;@Wiki ;does not apply;does not apply;does not apply;does not apply;@Wiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;@Wiki ;Yes;Yes;does not apply;No;No;No;No;No;No;@Wiki ;No;does not apply;does not apply;none;none;none;none;@Wiki ;Yes;No;No;Yes;Unlimited;No;Yes;Yes;@Wiki ;Yes;No;2 languages;English, Japanese;No;Plugin;No;No;No;Conflict Detection;Full Text;does not apply;;@Wiki ;Yes;Yes;Yes;No;No;Yes;;No;@Wiki ;Some;Yes;simple + complex;No;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;JavaScript;Yes;Yes;@Wiki ;No;No;No;Yes;Yes;No;No;@Wiki ;Plugin;No;No;No;No;No;@Wiki ;XHTML 1.0 Transitional;Yes;No;;Yes;Yes;Yes;No;No;No;No;No;No;@Wiki ;Yes;No;Yes;Yes;No;No;No;No;@Wiki ;Plugin;Plugin;No;No;No;@Wiki ;[[pagename]] or [[Alias>pagename]];or;[[Alias>>pagename]];;;;http://somewhere.else/;or;[[http://somewhere.else/]];or;[[Alias>http://somewhere.else ]];or;[[Alias>>http://somewhere.else ]];;* Headline;** Headline;*** Headline;;;;;;;;;;;''bold'';or;&bold(){boldtext};;;;&i(){italicstext};;;;;;&u(){underline};;;;;;;;;;;;;&del(){text};or;;&sup(){text};;;&sub(){text};;;;&ref(Attached Filename);i(Attached Filename);#image(Attached Filename);#image(Attached Filename,LinkURL);#image(ImageURL);#image(ImageURL,LinkURL);;;;;;;;;;;;;#left(){text align is left};#right(){text align is right};#center(){text align is center};;;;;;;;;-aaa;--bbb;---ccc;;;;;;;;+aaa;++bbb;+++ccc;;;;;;;;:Def Term|Def Desc;:Def Term|Def Desc;;;;;;----;;;;;;;;;
alphawiki ;v.20131206;41614;marty alain;epsilonwiki.free.fr;Yes;GPL;PHP+Javascript;Files;0;Mature;private users, small teams;alphawiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;alphawiki ;probably every OS;Yes;Apache with PHP support;;alphawiki ;Yes;No;No;No;No;No;No;None;alphawiki ;Yes;Yes;No;No;No;No;No;No;No;alphawiki ;No;No;epsilonwiki.free.fr;;;epsilonwiki.free.fr;;alphawiki ;Yes;Yes;No;Yes;Unlimited;No;Yes;Yes;alphawiki ;Yes;;Not localized;;No;Discussion Pages;;Optional;No;Conflict Resolution;Full Text;No;;alphawiki ;No;Yes;No;No;No;Yes;No;No;alphawiki ;Optional;Yes;simple + complex;No;No;No;No;No;No;Yes;No;Yes;Yes;;lambdatalk, lambdalisp,javascript;Yes;No;alphawiki ;Optional;Yes;No;No;Yes;Optional;Optional;alphawiki ;Yes;No;No;No;Yes;No;alphawiki ;XHTML 1.0 Strict;Yes;Print CSS;Yes;Yes;No;No;Optional;Yes;Optional;Optional;No;No;alphawiki ;Yes;No;Yes;Yes;No;Yes;No;No;alphawiki ;Optional;Yes;Yes;Optional;No;alphawiki ;1) standard syntax :;"{a {@ href=""?view=pixar""}pixar}";2) alternate wiki form :;[[pixar]];;;1) standard syntax :;"{a {@ href=""http://www.pixar.com/""}pixar}";2) alternate wiki form :;[[pixar|http://www.pixar.com/]];;;;;1) standard syntax :;{h1 TITLE} from 1 to 6;2) alternate form :;_h1 TITLE (until end of line);;;;;;;;;;{b I am bold};;;;;;{i I am italic};;;;;;{u I am underline};;;;;;{pre I am monospace and preformated};;;;;;;{del I am line-through};;;E = mc{sup 2};;;Vector low indiced : V{sub i} ;Vector high indiced: V{sup i};Tensor : T{sub i}{sup j};;1) static image, simple :;"{img {@ src=""data/image.jpg""}}";;2) static image, complete :;{img ;"{@ src=""data/image.jpg""  ";"height=""200""";"title=""infotext""";}};;3) click_enlarging image :;{show ;"{@ src=""data/image.jpg""";"height=""200"" ";"width=""400"" ";"title=""infotext""";}};;{center I am centered};;;;;;;{p I am an indented paragraph.};;;;1) standard :;{ul;{li item 1};{li item 2};};;2) alternative :;_ul item 1;_ul item 2;;1) standard :;{ol;{li item 1};{li item 2};};;2) alternative :;_ol item 1;_ol item 2;;{dl;{dt one} ;{dd definition 1};{dt two} ;{dd definition 2};};;{hr};;;;;;;;;
Aneuch ;0.30;41691;Aaron Graves;www.aneuch.org;Yes;BSD;PERL;Files;Free;Beta;Any;Aneuch ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Aneuch ;Any;No;Any (only tested on Apache);;Aneuch ;Yes;No;No;No;No;No;No;None;Aneuch ;No;No;Simple;Yes;No;Yes;Yes;Yes;No;Aneuch ;No;No;code.google.com;code.google.com;None;None;None;Aneuch ;Yes;No;Yes;Yes;Unlimited;Between all;Yes;Yes;Aneuch ;;No;Not localized;;No;Discussion Pages;No;No;No;Page Locking;Full Text;Optional;No;Aneuch ;No;Yes;No;No;No;Yes;No;No;Aneuch ;Plugin;No;none;Yes;Plugin;No;No;No;No;No;No;No;Yes;No;None;No;No;Aneuch ;No;No;Yes;No;No;No;Yes;Aneuch ;Yes;No;No;No;Yes;No;Aneuch ;XHTML 1.0 Transitional;Yes;No;No;Yes;No;No;No;No;Yes;No;No;No;Aneuch ;No;No;No;No;No;No;No;No;Aneuch ;No;No;Yes;Yes;No;Aneuch ;[[Page]];[[Page|page description]];;;;;[[http://www.google.com/]];[[http://www.google.com/|Google]];;;;;;;= H1 =;Banana Dance ;=== H3;;;;;;;;;;;**bold**;;;;;;//italic//;;;;;;__underline__;;;;;;`monospace`;;;;;;;--strikethrough--;;;;;;;;;;{{image.jpg}};{{image.jpg|alt text}};;;;;;;;;;;;;;;;;;;;;;;;;;;;* Item 1;** Item 1.1;;;;;;;;;# Item 1;## Item 1.1;;;;;;;;;;;;;;;;----;;;;;;;;;
Anwiki ;0.2.5;40525;Antoine Walter;www.anwiki.com;Yes;GPL 3;PHP;Files, DB;0;Mature;Designed for multilingual contents and/or structured contents. Light, extensive and overridable architecture.;Anwiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Anwiki ;Linux, Windows, probably others;No;Apache, probably others with PHP support;;Anwiki ;No;Yes;No;No;No;No;No;Extensible to any datastorage by implementing a custom driver;Anwiki ;Yes;Yes;Extensible to any authentication backend by implementing a custom driver;No;No;No;No;Yes;No;Anwiki ;No;;github.com;github.com;discuss@anwiki.com;;;Anwiki ;Yes;No;Yes;Yes;Restricted by Age or Number;Between all;Yes;Yes;Anwiki ;Yes;Yes;5 languages;German, English, Spanish, French, Italian;No;No;;Yes;No;Page Locking;;;Yes;Anwiki ;No;Yes;Yes;No;No;Yes;Yes;;Anwiki ;All;No;none;No;No;No;No;Plugin;No;No;Plugin;;Yes;;"Javascript ; PHP scripts can be enabled";Yes;Yes;Anwiki ;No;Yes;No;No;No;No;No;Anwiki ;Yes;No;No;No;No;No;Anwiki ;XHTML 1.0 Strict;Yes;;No;;Yes;;No;Yes;Yes;No;Yes;No;Anwiki ;No;No;Yes;Yes;No;No;No;No;Anwiki ;No;No;No;No;No;Anwiki ;"<a href=""en/home"">go home</a>";;;;;;"<a href=""http://www.anwiki.com"">Anwiki</a>";;;;;;;;<h1>Title</h2>;<h2>Subtitle</h2>;...;;;;;;;;;;;<b>bold</b>;;;;;;<i>italic</i>;;;;;;<u>underline</u>;;;;;;<tt>monospace</tt>;;;;;;;<del>strikethrough</del>;;;<sup>Anwiki</sup>;;;<sub>Anwiki</sub>;;;;"<img src=""""/>";;;;;;;;;;;;;;;;;;<center>anwiki</center>;;;;;;;;;;;<ul>;<li>item</li>;<li>item</li>;</ul>;;;;;;;<ol>;<li>item</li>;<li>item</li>;</ol>;;;;;;;<dl>;<dt>item</dt>;<dt>item</dt>;</dl>;;;;<hr/>;;;;;;;;;
Banana Dance ;Beta v2;July 2011;Jon Belelieu;www.bananadance.org;Yes;GPLv2;PHP;Database;Free;Beta;Users (1) Buidling entire websites (2) Building product manuals (3) building community websites, and of course, (4) building anything needing a wiki!;Banana Dance ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Banana Dance ;Recommended: Linux;No;Apache;PHP, MySQL;Banana Dance ;Optional;Yes;;;;;;;Banana Dance ;Yes;Yes;Yes;Yes;;;Yes;Yes;Yes;Banana Dance ;Yes, 1 listed;Yes;Coming post-beta;www.bananadance.org;www.bananadance.org;www.bananadance.org;;Banana Dance ;Yes;Yes;Yes;Yes;Unlimited;To current;Yes;Yes;Banana Dance ;Yes;;Not localized;;Yes;Threaded;Yes;Yes;Yes;Page Locking;Full Text;Yes;Yes;Banana Dance ;;Yes;Yes;;;Yes;;Yes;Banana Dance ;All;;simple + complex;;;;;Yes;Yes;Optional;Yes;Yes;Yes;Yes;;Yes;;Banana Dance ;No;Yes;No;Yes;Yes;Yes;No;Banana Dance ;Yes;No;;Yes;Yes;;Banana Dance ;XHTML 1.0 Transitional;Yes;Print View;Yes;Yes;Yes;;;Yes;;;;;Banana Dance ;Yes;Yes;Yes;Yes;Yes;No;No;No;Banana Dance ;No;Yes;Yes;No;Optional;Banana Dance ;[[article name::category name|Link Name]];(category name) is optional.;;;;;[[http://www.site.com/|Link Name]];;;;;;;;----Heading----;---Heading---;--Heading--;;;;;;;;;;;**Text**;;;;;;//Text//;;;;;;__Text__;;;;;;[code][/code];Or tab-indent text;;;;;;[strike]Text[/strike];;;[sup]Text[/sup];;;[sub]Text[/sub];;;;((/path/to/image.jpg|width|height|Image Title|Image Caption));Only path is required. Auto-resizes images.;;;;;;;;;;;;;;;;;-->right text;<->center text;;;;;;[quote]Quote Text[/quote];;;;- item 1;- Sub-item;- Sub-sub-item;- item 2;;;;;;;# item 1;# Sub-item;# Sub-sub-item;# item 2;;;;;;;[def];Term: Definition;[/def];;;;;====;;;;;;;;;
bitweaver ;37044;14-MAY-2009;bitweaver.org;www.bitweaver.org;Yes;LGPL;PHP;Database;FREE;Mature;Powerful OO CMS architecture and framework for high traffic, Custom Web Development;bitweaver ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;bitweaver ;Any;No;YES;PHP;bitweaver ;No;Yes;Yes;Yes;No;No;No;Firebird;bitweaver ;Yes;Yes;LDAP, Cusomization API for Proprietary Systems;;;;Yes;Yes;;bitweaver ;No;;sourceforge.net;sourceforge.net;sourceforge.net;www.bitweaver.org;irc://freenode.net/#bitweaver;bitweaver ;Yes;Yes;Yes;Yes;Unlimited;To current;;Yes;bitweaver ;Yes;Yes;28 languages;Catalan, Czech, Danish, German, Greek, English, Spanish, Finnish, French, Croatian, Hungarian, Italian, Japanese, Korean, Dutch, Norwegian, Polish, Portuguese, Brazilian Portuguese, Romanian, Russian, Slovak, Slovenian, Serbian, Swedish, Ukrainian, Chinese, Chinese Traditional;Yes;Threaded;Yes;;Yes;Page Locking;Full Text;Yes;;bitweaver ;Optional;Yes;Yes;No;No;Yes;No;Yes;bitweaver ;Optional;No;simple + complex;;Optional;;Optional;Yes;Optional;Yes;Yes;Yes;Yes;No;;Yes;Yes;bitweaver ;No;;Optional;Optional;Optional;Yes;Yes;bitweaver ;Yes;No;Yes;Yes;Yes;Yes;bitweaver ;XHTML 1.0 Strict;Yes;Print CSS;Yes;Yes;Yes;No;;Yes;;;;Yes;bitweaver ;Yes;;Yes;Yes;;;Yes;;bitweaver ;Yes;Yes;Yes;Yes;;bitweaver ;((Name of page));or;((Name of page|link to a page));or, if activated:;CamelCase WikiWords;;[http://example.com];or;[http://example.com|label];;;;;;-= Titlebar =-;! Level 1;!! Level 2;!!! Level 3;!!!! Level 4;!!!!! Level 5;;;;;;;;__bold__;;;;;;''italic'';;;;;;=== underline ===;;;;;;-+ monospace +-;;;;;;;;;;;;;;;;;{img src=http://foo.bar/foo.jpg};;;;;;;;;;;;;;;;;;:: centered text ::;;;;;;;;;;;* Item 1;** Item 1.1;* Item 2;;;;;;;;# Item 1;## Item 1.1;# Item 2;;;;;;;;;;;;;;;---;;;;;;;;;
bLADE Wiki ;39906;39762;Dale Lane;dale.lane.googlepages.com;No;N/A;C#;Files;Free;Mature;Users wanting to be able to view/edit their wiki from a mobile phone or PDA, with a simple wiki that needs almost no setup;bLADE Wiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;bLADE Wiki ;Windows, Windows Mobile;No;N/A;.NET 2 Framework;bLADE Wiki ;Yes;No;No;No;No;No;No;;bLADE Wiki ;No;No;No;No;No;No;No;No;No;bLADE Wiki ;No;No;;getsatisfaction.com;;getsatisfaction.com;;bLADE Wiki ;No;No;No;Yes;Unlimited;No;Yes;No;bLADE Wiki ;Yes;;;;No;No;No;No;No;None;Full Text;;;bLADE Wiki ;No;Yes;Yes;Yes;;Yes;Yes;;bLADE Wiki ;All;;simple;;;;;Yes;;Yes;Yes;Yes;No;;;Yes;;bLADE Wiki ;No;;No;Yes;No;Yes;;bLADE Wiki ;;;Yes;;;Yes;bLADE Wiki ;;Yes;Print View;Yes;No;No;No;No;Yes;Yes;Yes;No;No;bLADE Wiki ;Yes;;;;;;;;bLADE Wiki ;;;;;;bLADE Wiki ;[Link to a page];;;;;;[http://www.linkme.com];;;;;;;;+Heading;;;;;;;;;;;;;*bold text*;;;;;;=italic text=;;;;;;_underlined text_;;;;;;[|code sample|];;;;;;;-strikethrough text-;;;;;;;;;;[$image.jpg$];;;;;;;;;;;;;;;;;;;;;;;;;> blockquote text;;;;- bulleted;;;;;;;;;;# numbered;;;;;;;;;;;;;;;;;___;;;;;;;;;
Bloomfire ;does not apply;does not apply;Bloomfire, Inc.;www.bloomfire.com;does not apply;does not apply;does not apply;does not apply;$5/user/month;does not apply;Internal wiki or company wiki for teams and companies of all sizes. Enterprise to SMB to small product team and everything in between.;Bloomfire ;Unlimited;Unlimited;;No;Yes;;;Bloomfire ;does not apply;does not apply;does not apply;does not apply;Bloomfire ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Bloomfire ;Yes;Yes;does not apply;Optional;Yes;Yes;Yes;;;Bloomfire ;No;does not apply;does not apply;;;community.bloomfire.com;;Bloomfire ;Yes;Yes;Yes;;Unlimited;;Yes;Yes;Bloomfire ;Yes;No;Not localized;;Yes;Threaded;Yes;Yes;Yes;;Full Text;does not apply;;Bloomfire ;;Yes;;Yes;;Yes;;Yes;Bloomfire ;All;;;;;;;;;;;;;;;;;Bloomfire ;Yes;Yes;;Yes;Yes;;;Bloomfire ;;;;Yes;Yes;Yes;Bloomfire ;;Yes;;Yes;Yes;;;;;Yes;Yes;;Yes;Bloomfire ;Yes;Yes;;Yes;No;;;Keywords;Bloomfire ;;;;Yes;;Bloomfire ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
